,customer_id,contract,paperless_billing,payment_method,monthly_ charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,phone_service,internet_service,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type,country,state,city,zip_code,total_population,latitude,longitude,tenure,multiple_lines,avg_monthly_gb_download,unlimited_data,offer,referred_a_friend,number_of_referrals,Unnamed: 0.1,Unnamed: 0,gender,age,under_30,senior_citizen,partner,dependents,number_of_dependents,married,satisfaction_score,cltv,customer_status,churn_score,churn_label,churn_value,churn_category,churn_reason
0,0002-ORFBO,One Year,Yes,Mailed check,65.6,42.39,593.3,0.0,0,381.51,974.81,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Cable,United States,California,Frazier Park,93225,4498,34.827662,-118.999073,9,No,16,Yes,,Yes,2,0,0,Female,37,No,No,Yes,No,0,Yes,3,2205,Stayed,65,No,0,Not Applicable,
1,0003-MKNFE,Month-to-Month,No,Mailed check,59.9,10.69,542.4,38.33,10,96.21,610.28,Yes,Yes,No,No,No,No,No,Yes,Yes,Cable,United States,California,Glendale,91206,31297,34.162515,-118.203869,9,Yes,10,No,,No,0,1,1,Male,46,No,No,No,No,0,No,5,5414,Stayed,66,No,0,Not Applicable,
2,0004-TLHLJ,Month-to-Month,Yes,Electronic check,73.9,33.65,280.85,0.0,0,134.6,415.45,Yes,Yes,No,No,Yes,No,No,No,No,Fiber Optic,United States,California,Costa Mesa,92627,62069,33.645672,-117.922613,4,No,30,Yes,Offer E,No,0,2,2,Male,50,No,No,No,No,0,No,1,4479,Churned,71,Yes,1,Competitor,Competitor had better devices
3,0011-IGKFF,Month-to-Month,Yes,Electronic check,98.0,27.82,1237.85,0.0,0,361.66,1599.51,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Fiber Optic,United States,California,Martinez,94553,46677,38.014457,-122.115432,13,No,4,Yes,Offer D,Yes,1,3,3,Male,78,No,Yes,Yes,No,0,Yes,1,3714,Churned,91,Yes,1,Dissatisfaction,Product dissatisfaction
4,0013-EXCHZ,Month-to-Month,Yes,Mailed check,83.9,7.38,267.4,0.0,0,22.14,289.54,Yes,Yes,No,No,No,Yes,Yes,No,No,Fiber Optic,United States,California,Camarillo,93010,42853,34.227846,-119.079903,3,No,11,Yes,,Yes,3,4,4,Female,75,No,Yes,Yes,No,0,Yes,1,3464,Churned,68,Yes,1,Dissatisfaction,Network reliability
5,0013-MHZWF,Month-to-Month,Yes,Credit card (automatic),69.4,16.77,571.45,0.0,0,150.93,722.38,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Cable,United States,California,Midpines,95345,433,37.581496,-119.972762,9,No,73,Yes,Offer E,No,0,5,5,Female,23,Yes,No,No,Yes,3,No,3,5108,Stayed,55,No,0,Not Applicable,
6,0013-SMEOE,Two Year,Yes,Bank transfer (automatic),109.7,9.96,7904.25,0.0,0,707.16,8611.41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,United States,California,Lompoc,93437,6165,34.757477,-120.550507,71,No,14,Yes,Offer A,Yes,1,6,6,Female,67,No,Yes,Yes,No,0,Yes,3,5011,Stayed,26,No,0,Not Applicable,
7,0014-BMAQU,Two Year,Yes,Credit card (automatic),84.65,12.96,5377.8,0.0,20,816.48,6214.28,Yes,Yes,Yes,No,No,Yes,No,No,No,Fiber Optic,United States,California,Napa,94558,63947,38.489789,-122.27011,63,Yes,7,No,Offer B,Yes,8,7,7,Male,52,No,No,Yes,No,0,Yes,4,4604,Stayed,49,No,0,Not Applicable,
8,0015-UOCOJ,Two Year,Yes,Electronic check,48.2,10.53,340.35,0.0,0,73.71,414.06,Yes,Yes,Yes,No,No,No,No,No,No,DSL,United States,California,Simi Valley,93063,49027,34.296813,-118.685703,7,No,21,Yes,Offer E,No,0,8,8,Female,68,No,Yes,No,No,0,No,3,5525,Stayed,34,No,0,Not Applicable,
9,0016-QLJIS,Two Year,Yes,Mailed check,90.45,28.46,5957.9,0.0,0,1849.9,7807.8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cable,United States,California,Sheridan,95681,1219,38.984756,-121.345074,65,Yes,14,Yes,,Yes,3,9,9,Female,43,No,No,Yes,Yes,1,Yes,3,5509,Stayed,25,No,0,Not Applicable,
